id,status ,arrival_at,cost,overhead_cost,discount,acquisition_costs
176604,LendingToB,2025-03-06,0,NULL,NULL,0
176605,LendingToB,2025-03-06,0,NULL,NULL,0
176606,LendingToB,2025-03-06,0,NULL,NULL,0
176607,LendingToB,2025-03-06,36270,NULL,NULL,36270
176608,LendingToB,2025-03-06,36270,NULL,NULL,36270
176609,LendingToB,2025-03-06,36270,NULL,NULL,36270
176610,LendingToB,2025-03-06,25136,NULL,NULL,25136
176611,LendingToB,2025-03-06,25136,NULL,NULL,25136
176612,LendingToB,2025-03-06,25136,NULL,NULL,25136
176613,LendingToB,2025-03-06,53494,NULL,NULL,53494
176614,LendingToB,2025-03-06,53494,NULL,NULL,53494
176615,LendingToB,2025-03-06,53494,NULL,NULL,53494
176616,LendingToB,2025-03-06,15468,NULL,NULL,15468
176617,LendingToB,2025-03-06,15468,NULL,NULL,15468
176618,LendingToB,2025-03-06,15468,NULL,NULL,15468
176619,LendingToB,2025-03-06,15468,NULL,NULL,15468
176620,LendingToB,2025-03-06,15468,NULL,NULL,15468
176621,LendingToB,2025-03-06,15468,NULL,NULL,15468
176622,LendingToB,2025-03-06,15467,NULL,NULL,15467
176623,LendingToB,2025-03-06,15467,NULL,NULL,15467
176624,LendingToB,2025-03-06,15467,NULL,NULL,15467
176625,LendingToB,2025-03-06,15467,NULL,NULL,15467
176626,LendingToB,2025-03-06,15467,NULL,NULL,15467
176627,LendingToB,2025-03-06,15467,NULL,NULL,15467
176628,LendingToB,2025-03-06,12000,NULL,NULL,12000
176629,LendingToB,2025-03-06,12000,NULL,NULL,12000
176630,LendingToB,2025-03-06,12000,NULL,NULL,12000
176631,LendingToB,2025-03-06,12780,NULL,NULL,12780
176632,Recovery,2025-03-06,12780,NULL,NULL,12780
176633,LendingToB,2025-03-06,12780,NULL,NULL,12780
176634,LendingToB,2025-03-07,26084,NULL,NULL,26084
176635,LendingToB,2025-03-07,26083,NULL,NULL,26083
176636,LendingToB,2025-03-07,26083,NULL,NULL,26083
176640,LendingToB,2025-03-07,56500,NULL,NULL,56500
176641,LendingToB,2025-03-07,56500,NULL,NULL,56500
176642,Recovery,2025-03-07,56500,NULL,NULL,56500
176647,LendingToB,2025-03-12,10125,NULL,NULL,10125
176648,LendingToB,2025-03-12,10125,NULL,NULL,10125
176649,LendingToB,2025-03-12,8090,NULL,NULL,8090
176650,LendingToB,2025-03-10,7254,NULL,NULL,7254
176655,Lending,2025-03-03,0,NULL,NULL,0
176656,Lending,2025-03-03,0,NULL,NULL,0
176657,Lending,2025-03-03,89738,NULL,NULL,89738
176658,Lending,2025-03-03,89737,NULL,NULL,89737
176659,LendingToB,2025-03-03,0,NULL,NULL,0
176660,Lending,2025-03-03,0,NULL,NULL,0
176661,Lending,2025-03-03,0,NULL,NULL,0
176662,Lending,2025-03-03,94197,NULL,NULL,94197
176663,LendingToB,2025-03-03,94197,NULL,NULL,94197
176664,Lending,2025-03-03,94197,NULL,NULL,94197
176665,Lending,2025-03-03,0,NULL,NULL,0
176666,Lending,2025-03-03,89737,NULL,NULL,89737
176667,Lending,2025-03-03,0,NULL,NULL,0
176668,Lending,2025-03-03,94197,NULL,NULL,94197
176669,LendingToB,2025-03-04,7800,NULL,NULL,7800
176670,Lending,2025-03-04,7800,NULL,NULL,7800
176671,LendingToB,2025-03-04,7800,NULL,NULL,7800
176672,LendingToB,2025-03-04,7800,NULL,NULL,7800
176673,Lending,2025-03-04,7800,NULL,NULL,7800
176674,Lending,2025-03-04,60000,NULL,NULL,60000
176675,Lending,2025-03-04,0,NULL,NULL,0
176676,Recovery,2025-03-04,60000,NULL,NULL,60000
176677,Recovery,2025-03-04,0,NULL,NULL,0
176678,LendingToB,2025-03-04,27000,NULL,NULL,27000
176679,Impossibility,2025-03-04,27000,NULL,NULL,27000
176680,LendingToB,2025-03-04,38400,NULL,NULL,38400
176681,Lending,2025-03-04,38400,NULL,NULL,38400
176682,LendingToB,2025-03-04,57000,NULL,NULL,57000
176731,Lending,2025-03-03,44039,NULL,NULL,44039
176732,LendingToB,2025-03-03,44039,NULL,NULL,44039
176733,Lending,2025-03-03,0,NULL,NULL,0
176734,LendingToB,2025-03-03,0,NULL,NULL,0
176735,Lending,2025-03-03,43039,NULL,NULL,43039
176736,Lending,2025-03-03,43039,NULL,NULL,43039
176737,Recovery,2025-03-03,15013,NULL,NULL,15013
176738,Lending,2025-03-03,15013,NULL,NULL,15013
176739,Lending,2025-03-03,15013,NULL,NULL,15013
176740,Recovery,2025-03-03,15013,NULL,NULL,15013
176741,Lending,2025-03-03,15013,NULL,NULL,15013
176742,Lending,2025-03-03,15013,NULL,NULL,15013
176743,Lending,2025-03-03,15013,NULL,NULL,15013
176744,Lending,2025-03-03,15013,NULL,NULL,15013
176745,Lending,2025-03-03,25500,NULL,NULL,25500
176746,Lending,2025-03-03,25500,NULL,NULL,25500
176747,Impossibility,2025-03-03,25500,NULL,NULL,25500
176748,Impossibility,2025-03-03,25500,NULL,NULL,25500
176749,Lending,2025-03-03,25500,NULL,NULL,25500
176750,Lending,2025-03-03,0,NULL,NULL,0
176751,Lending,2025-03-03,0,NULL,NULL,0
176752,Lending,2025-03-03,0,NULL,NULL,0
176753,Lending,2025-03-03,0,NULL,NULL,0
176754,Ready,2025-03-03,0,NULL,NULL,0
176755,Ready,2025-03-03,0,NULL,NULL,0
176756,Lending,2025-03-03,0,NULL,NULL,0
176757,Lending,2025-03-03,0,NULL,NULL,0
